log10_Xlan log10_mej log10_vej luminosity_distance timeshift em_syserr Ebv log_likelihood log_prior
-3.7511642873919318 -1.4828335567042235 -0.9550804203309895 40.242451436135134 0.0 1.0 0.0 -238.0433812936969 -6.406575547840184
-3.58158208117944 -1.4873353220846566 -1.026815709778172 40.81660009605646 0.0 1.0 0.0 -235.26776825787195 -6.420741967285558
-3.441585752651644 -1.4048684567795253 -0.9698889706842032 42.86261841010029 0.0 1.0 0.0 -235.07585069372453 -6.469653183865423
-3.559219137935952 -1.5792543338412317 -0.981478726098205 40.689966879865906 0.0 1.0 0.0 -234.8500344935307 -6.417634651573948
-3.4685843111105346 -1.40008831775988 -0.9672103996988627 41.1446429654755 0.0 1.0 0.0 -234.65001843743357 -6.428746839072687
-3.6510366035278663 -1.5259764890482828 -1.0377647106046755 38.52018213850987 0.0 1.0 0.0 -234.19287389531547 -6.362835418855993
-3.7596786816260535 -1.4693246424336603 -1.0246165746553322 38.16451441353114 0.0 1.0 0.0 -233.89984009800716 -6.353559245347489
-3.614039745481813 -1.4271307449864654 -0.9713254917347591 42.086418019680984 0.0 1.0 0.0 -233.80646993971425 -6.451378179801832
-3.6913585032771037 -1.471106681265801 -0.9883249649051501 42.23213188647317 0.0 1.0 0.0 -233.64464927960879 -6.454834453943416
-3.6962830865497853 -1.4911635417019071 -0.9865169174342941 41.96549655354889 0.0 1.0 0.0 -233.5398658950114 -6.448500873551982
-3.5280072054829903 -1.4494089882873582 -0.9556692681928886 40.31488446657835 0.0 1.0 0.0 -233.51147391192862 -6.408373845888438
-3.4391551317604314 -1.6125948598689774 -0.979470158019468 38.63307758861479 0.0 1.0 0.0 -233.41171240266524 -6.365761945384598
-3.510431736134225 -1.639454758397847 -0.9889430440145393 38.12514151615641 0.0 1.0 0.0 -233.36638678969845 -6.352527050343051
-3.6958173528015363 -1.4929663215500004 -0.9742080341276912 41.56781944480437 0.0 1.0 0.0 -233.20572447753486 -6.43897940039157
-3.290910049405685 -1.4233006050191515 -0.9764471092511838 38.90524940085807 0.0 1.0 0.0 -232.82940032524306 -6.372782291080666
-3.670416803817643 -1.4321474709291349 -0.9813730150750449 40.95564760489451 0.0 1.0 0.0 -232.74164262057434 -6.424142818962346
-3.4957387275077414 -1.4635173278849098 -1.0279667556869714 39.52629382723863 0.0 1.0 0.0 -232.6913714963201 -6.388619220484946
-3.741722849658289 -1.4516816946008975 -0.9929061167102953 39.723793124403706 0.0 1.0 0.0 -232.5766541984835 -6.393603434726839
-3.5431115983667407 -1.479466553109419 -0.9588281920266399 41.2068496538856 0.0 1.0 0.0 -232.49277514274186 -6.4302575997951275
-3.622229342470149 -1.445736337656831 -0.9815416957496592 42.416824183078475 0.0 1.0 0.0 -232.44499730630602 -6.459198183828791
-3.6514606763291697 -1.4379623964145014 -0.9850931489490132 41.745195384695435 0.0 1.0 0.0 -232.3663739830521 -6.443237467591667
-3.6578349041913203 -1.5528916872126959 -1.0065209554736736 39.72226092530106 0.0 1.0 0.0 -232.36300953292235 -6.3935648626637915
-3.562714420749903 -1.4669261826124425 -0.9773600719815545 42.741521559483424 0.0 1.0 0.0 -232.34398332420767 -6.466823953142773
-3.4462872842344803 -1.503758529519971 -0.9853133580264087 41.61136084448205 0.0 1.0 0.0 -232.29874935485017 -6.440026330729265
-3.480209355694483 -1.4491634305852794 -1.0309715165500744 38.47121702574813 0.0 1.0 0.0 -232.2338338610506 -6.36156345549658
-3.419754628368434 -1.4432525107562122 -0.9731441642834671 42.0454486646985 0.0 1.0 0.0 -232.23337173420572 -6.450404247810649
-3.6462376475302287 -1.4500607504179674 -0.9841687601849624 42.0501473725918 0.0 1.0 0.0 -232.22255303113081 -6.450515994634968
-3.657799825950762 -1.5995992151209273 -0.9843141259271599 39.12175220861311 0.0 1.0 0.0 -232.21701815452676 -6.378331738295447
-3.4618802190076625 -1.5798318719454159 -0.9817242595974768 39.507351712459865 0.0 1.0 0.0 -232.1834873827364 -6.388139877414989
-3.429442454660946 -1.4417724471568847 -1.0005082707639037 41.62465031467091 0.0 1.0 0.0 -232.1373598877627 -6.440345650939753
-3.5459054267654713 -1.4129107089971873 -0.9738229268895493 40.18080233399194 0.0 1.0 0.0 -232.12731693614234 -6.405042431202187
-3.5909028296077388 -1.5158141738074629 -1.0065321924058162 40.80693930469048 0.0 1.0 0.0 -232.07768597627148 -6.420505251468478
-3.470207004485136 -1.5130407545525189 -1.0323355204150284 38.075364526426405 0.0 1.0 0.0 -232.06908264365794 -6.351220576163406
-3.3781500548237746 -1.5248408571998002 -0.972340669619144 40.180820119348944 0.0 1.0 0.0 -231.99111593088753 -6.405042873835287
-3.607298265347236 -1.4433816264112962 -0.9669781602985744 40.493685192113624 0.0 1.0 0.0 -231.9776192866408 -6.412799144296322
