isot,filter,mag,err
2023-02-25T12:00:00.000,ps1__g,18.553269609885284,0.3
2023-02-25T21:36:00.000,ps1__g,18.856045891454897,0.3
2023-02-26T04:48:00.000,ps1__g,16.718205335255856,0.3
2023-02-26T09:36:00.000,ps1__g,18.27883282531364,0.3
2023-02-26T19:12:00.000,ps1__g,18.181462868946348,0.3
2023-02-27T04:48:00.000,ps1__g,18.250812678142097,0.3
2023-02-27T09:36:00.000,ps1__g,18.85786223421879,0.3
2023-02-27T21:36:00.000,ps1__g,19.2806313134878,0.3
2023-02-28T09:36:00.000,ps1__g,19.923521050333743,0.3
2023-03-01T09:36:00.000,ps1__g,20.21939086332783,0.3
2023-03-03T12:00:00.000,ps1__g,21.620508570649825,0.3
2023-03-04T12:00:00.000,ps1__g,22.73883224471344,0.3
2023-03-08T09:36:00.000,ps1__g,25.80886076753434,0.3
2023-02-25T12:00:00.000,ps1__r,17.657940151361423,0.3
2023-02-25T21:36:00.000,ps1__r,17.832492369061114,0.3
2023-02-26T04:48:00.000,ps1__r,17.05876813529973,0.3
2023-02-26T09:36:00.000,ps1__r,17.760678118502174,0.3
2023-02-26T19:12:00.000,ps1__r,16.536258731481055,0.3
2023-02-27T04:48:00.000,ps1__r,17.410763365662323,0.3
2023-02-27T09:36:00.000,ps1__r,17.65893978206086,0.3
2023-02-27T21:36:00.000,ps1__r,19.399450248925817,0.3
2023-02-28T04:48:00.000,ps1__r,18.67800811864784,0.3
2023-02-28T09:36:00.000,ps1__r,19.726879278409232,0.3
2023-03-01T04:48:00.000,ps1__r,20.23759366564763,0.3
2023-03-01T09:36:00.000,ps1__r,19.88256215525179,0.3
2023-03-02T12:00:00.000,ps1__r,20.235548313592844,0.3
2023-03-03T12:00:00.000,ps1__r,20.748432855341658,0.3
2023-03-04T12:00:00.000,ps1__r,21.039870980990873,0.3
2023-03-05T12:00:00.000,ps1__r,22.29127389323489,0.3
2023-03-06T12:00:00.000,ps1__r,22.11003286536002,0.3
2023-03-07T12:00:00.000,ps1__r,22.1680374402031,0.3
2023-03-08T09:36:00.000,ps1__r,23.504888472367302,0.3
2023-02-25T12:00:00.000,ps1__i,16.912476992351003,0.3
2023-02-25T16:48:00.000,ps1__i,16.844708944890442,0.3
2023-02-25T21:36:00.000,ps1__i,16.280391805728016,0.3
2023-02-26T09:36:00.000,ps1__i,16.538646635650526,0.3
2023-02-26T16:48:00.000,ps1__i,15.98544102882912,0.3
2023-02-26T19:12:00.000,ps1__i,16.683043063118767,0.3
2023-02-27T04:48:00.000,ps1__i,16.58576684256179,0.3
2023-02-27T09:36:00.000,ps1__i,15.867994626370862,0.3
2023-02-27T16:48:00.000,ps1__i,18.30269273135836,0.3
2023-02-27T21:36:00.000,ps1__i,17.494290343573642,0.3
2023-02-28T04:48:00.000,ps1__i,17.701657160395747,0.3
2023-02-28T09:36:00.000,ps1__i,17.71520301344137,0.3
2023-02-28T16:48:00.000,ps1__i,17.291127233871467,0.3
2023-03-01T09:36:00.000,ps1__i,18.79600022730325,0.3
2023-03-02T12:00:00.000,ps1__i,19.63182460131503,0.3
2023-03-04T12:00:00.000,ps1__i,20.919947505918316,0.3
2023-03-05T12:00:00.000,ps1__i,21.001406737066926,0.3
2023-03-06T12:00:00.000,ps1__i,20.649013781441692,0.3
2023-03-07T12:00:00.000,ps1__i,22.124703356848133,0.3
2023-03-08T09:36:00.000,ps1__i,22.32802779159374,0.3
2023-02-25T12:00:00.000,ps1__z,18.461743894281227,0.3
2023-02-25T16:48:00.000,ps1__z,17.857284089355705,0.3
2023-02-26T09:36:00.000,ps1__z,17.270498514822243,0.3
2023-02-26T16:48:00.000,ps1__z,17.039827074844812,0.3
2023-02-27T04:48:00.000,ps1__z,17.24610029356497,0.3
2023-02-27T09:36:00.000,ps1__z,17.394130522323746,0.3
2023-02-27T16:48:00.000,ps1__z,17.056634174205943,0.3
2023-02-28T04:48:00.000,ps1__z,17.99306172094086,0.3
2023-02-28T09:36:00.000,ps1__z,17.215335636568025,0.3
2023-02-28T16:48:00.000,ps1__z,17.65944894325595,0.3
2023-03-01T09:36:00.000,ps1__z,18.432357140025037,0.3
2023-03-02T12:00:00.000,ps1__z,19.26415711916391,0.3
2023-03-04T12:00:00.000,ps1__z,20.1849300537588,0.3
2023-03-05T12:00:00.000,ps1__z,19.863687921901597,0.3
2023-03-06T12:00:00.000,ps1__z,20.732608969238083,0.3
2023-03-07T12:00:00.000,ps1__z,20.1144799287248,0.3
2023-03-10T09:36:00.000,ps1__z,22.038900334107762,0.3
2023-03-11T12:00:00.000,ps1__z,22.095663174134863,0.3
2023-02-25T12:00:00.000,ps1__y,18.12891069498639,0.3
2023-02-25T16:48:00.000,ps1__y,17.535027146160612,0.3
2023-02-26T09:36:00.000,ps1__y,17.484072039306763,0.3
2023-02-26T16:48:00.000,ps1__y,17.380295565556295,0.3
2023-02-27T09:36:00.000,ps1__y,16.741301597930565,0.3
2023-02-27T16:48:00.000,ps1__y,17.505344325546286,0.3
2023-02-28T09:36:00.000,ps1__y,16.91422287139654,0.3
2023-02-28T16:48:00.000,ps1__y,17.939464656694952,0.3
2023-03-01T09:36:00.000,ps1__y,17.922413179106044,0.3
2023-03-02T12:00:00.000,ps1__y,18.416897354762124,0.3
2023-03-03T12:00:00.000,ps1__y,18.335205576372662,0.3
2023-03-04T12:00:00.000,ps1__y,19.683853351140627,0.3
2023-03-05T12:00:00.000,ps1__y,19.32475199887131,0.3
2023-03-06T12:00:00.000,ps1__y,19.874858321864465,0.3
2023-03-07T12:00:00.000,ps1__y,20.725703161098743,0.3
2023-02-25T12:00:00.000,2massj,17.322068521980178,0.3
2023-02-26T04:48:00.000,2massj,15.522993178990003,0.3
2023-02-26T09:36:00.000,2massj,15.542759633866904,0.3
2023-02-27T04:48:00.000,2massj,16.244636297161232,0.3
2023-02-27T09:36:00.000,2massj,16.184978243158337,0.3
2023-02-28T04:48:00.000,2massj,16.455530749937203,0.3
2023-02-28T09:36:00.000,2massj,17.000752154479603,0.3
2023-03-01T04:48:00.000,2massj,16.76551864571999,0.3
2023-03-01T09:36:00.000,2massj,17.238128840460128,0.3
2023-03-03T12:00:00.000,2massj,18.94032387258986,0.3
2023-03-04T12:00:00.000,2massj,19.396630466437216,0.3
2023-03-05T12:00:00.000,2massj,18.74000844671846,0.3
2023-03-06T12:00:00.000,2massj,20.00429300563177,0.3
2023-03-07T12:00:00.000,2massj,19.231588390957356,0.3
2023-02-25T12:00:00.000,2massh,19.198672935619467,0.3
2023-02-26T04:48:00.000,2massh,17.769096780829763,0.3
2023-02-26T09:36:00.000,2massh,17.23864255353163,0.3
2023-02-27T04:48:00.000,2massh,16.35183097173108,0.3
