isot,filter,mag,err
2023-02-26T07:12:00.000,ps1__g,18.28565617923045,0.05
2023-03-01T07:12:00.000,ps1__g,20.702671655839477,0.05
2023-03-02T07:12:00.000,ps1__g,21.36161604043918,0.05
2023-03-02T14:24:00.000,ps1__g,21.533309686116766,0.05
2023-03-03T04:48:00.000,ps1__g,21.922999691954566,0.05
2023-03-03T09:36:00.000,ps1__g,22.06264370814031,0.05
2023-03-03T19:12:00.000,ps1__g,22.304397189685382,0.05
2023-03-04T00:00:00.000,ps1__g,22.42166598288965,0.05
2023-03-04T16:48:00.000,ps1__g,22.885540511891172,0.05
2023-03-05T09:36:00.000,ps1__g,23.384641538682185,0.05
2023-02-26T02:24:00.000,ps1__r,17.447460749997546,0.05
2023-02-26T07:12:00.000,ps1__r,17.47847846762275,0.05
2023-03-01T12:00:00.000,ps1__r,19.802661204075577,0.05
2023-03-02T00:00:00.000,ps1__r,20.071511632169987,0.05
2023-03-02T19:12:00.000,ps1__r,20.5009482438224,0.05
2023-03-03T07:12:00.000,ps1__r,20.7731120717066,0.05
2023-03-03T19:12:00.000,ps1__r,21.031206220301527,0.05
2023-03-04T14:24:00.000,ps1__r,21.43544354382913,0.05
2023-03-05T16:48:00.000,ps1__r,22.013951773808998,0.05
2023-03-07T07:12:00.000,ps1__r,22.822688962791215,0.05
2023-03-07T19:12:00.000,ps1__r,23.088455461175926,0.05
2023-03-07T21:36:00.000,ps1__r,23.139620558481084,0.05
2023-03-08T12:00:00.000,ps1__r,23.42838415697551,0.05
2023-03-08T21:36:00.000,ps1__r,23.63882389851982,0.05
2023-02-25T16:48:00.000,ps1__i,16.486192716859833,0.05
2023-02-25T21:36:00.000,ps1__i,16.241344282457774,0.05
2023-02-26T02:24:00.000,ps1__i,15.985808089667163,0.05
2023-02-27T21:36:00.000,ps1__i,17.206399789960273,0.05
2023-03-02T14:24:00.000,ps1__i,19.32876552287581,0.05
2023-03-03T02:24:00.000,ps1__i,19.735065133532196,0.05
2023-03-03T19:12:00.000,ps1__i,20.091658070615996,0.05
2023-03-04T12:00:00.000,ps1__i,20.504677695145034,0.05
