isot,filter,mag,err
2023-02-28T04:48:00.000,ps1__g,19.889974881957123,0.05
2023-02-28T19:12:00.000,ps1__g,20.343540881870343,0.05
2023-03-02T21:36:00.000,ps1__g,21.715738867353124,0.05
2023-03-03T00:00:00.000,ps1__g,21.787426564552504,0.05
2023-03-03T12:00:00.000,ps1__g,22.128304320342362,0.05
2023-03-04T14:24:00.000,ps1__g,22.82044327539779,0.05
2023-03-05T19:12:00.000,ps1__g,23.631060579907675,0.05
2023-03-05T21:36:00.000,ps1__g,23.722133364436267,0.05
2023-02-26T00:00:00.000,ps1__r,17.434813679716264,0.05
2023-02-26T04:48:00.000,ps1__r,17.465545695566185,0.05
2023-02-28T21:36:00.000,ps1__r,19.432222534168496,0.05
2023-03-01T09:36:00.000,ps1__r,19.742656078076998,0.05
2023-03-01T19:12:00.000,ps1__r,19.959903122236984,0.05
2023-03-02T12:00:00.000,ps1__r,20.358009008891152,0.05
2023-03-05T02:24:00.000,ps1__r,21.69924445934517,0.05
2023-03-05T14:24:00.000,ps1__r,21.960466716815553,0.05
2023-03-06T00:00:00.000,ps1__r,22.175779962485617,0.05
2023-03-07T19:12:00.000,ps1__r,23.088455461175926,0.05
2023-03-08T02:24:00.000,ps1__r,23.236392163635784,0.05
2023-03-08T12:00:00.000,ps1__r,23.42838415697551,0.05
2023-03-08T16:48:00.000,ps1__r,23.538102658897774,0.05
2023-02-28T02:24:00.000,ps1__i,17.458992850957664,0.05
2023-03-01T04:48:00.000,ps1__i,18.434047489740237,0.05
2023-03-01T07:12:00.000,ps1__i,18.51717355389173,0.05
2023-03-01T19:12:00.000,ps1__i,18.849556748934898,0.05
2023-03-04T19:12:00.000,ps1__i,20.655254379082727,0.05
2023-03-05T04:48:00.000,ps1__i,20.81483690356147,0.05
2023-03-05T07:12:00.000,ps1__i,20.890324646756852,0.05
2023-03-06T14:24:00.000,ps1__i,21.48608145212342,0.05
2023-03-07T09:36:00.000,ps1__i,21.85222847311211,0.05
2023-03-08T04:48:00.000,ps1__i,22.25639568616254,0.05
2023-03-09T12:00:00.000,ps1__i,22.761165593599166,0.05
2023-03-10T00:00:00.000,ps1__i,23.012773017467993,0.05
2023-03-10T02:24:00.000,ps1__i,23.0780167626251,0.05
2023-03-11T14:24:00.000,ps1__i,23.57837233290735,0.05
