2massj,2massh,2massks
-15.264102256388808,-13.820764040916007,-13.50700753211063
-16.547958580906265,-15.569458827718718,-14.42489278023187
-16.940177722308338,-16.261882855918813,-15.7522014532786
-16.833350721561125,-16.442203690078173,-16.253005115497565
-16.627370349664798,-16.38122248852634,-16.32636664746476
-16.32683690636295,-16.209184521283568,-16.192295081002907
-16.022813843623048,-15.970732490096506,-15.996834900113543
-15.783904258392651,-15.7589779393022,-15.812198478357283
-15.535443600323259,-15.527835486741555,-15.589406448588322
-15.33789696268522,-15.310195023893048,-15.341051507012256
-15.074625557785348,-15.091787279640982,-15.159926520689346
-14.960590968569827,-14.879587192146445,-14.943477853301395
-14.722674156713563,-14.681726728534194,-14.760077581710258
-14.639097357039683,-14.496119599389166,-14.569715975259378
-14.43122631896122,-14.31902732831025,-14.399683458985123
-14.293671045825358,-14.16868019268972,-14.253547793031975
-14.03135211919184,-14.01948160535594,-14.093654248567999
-13.871466812968325,-13.880976210927182,-13.949398319021435
-13.765586910042511,-13.75180806839083,-13.80894529286989
-13.538218117034853,-13.61891489566137,-13.67145890149848
-13.47911592039969,-13.507535972304199,-13.548834293774007
-13.335502154611738,-13.402531998737716,-13.413790730885044
-13.181488668872086,-13.300977397979201,-13.31611003935996
-13.061354171432665,-13.202374028179408,-13.206713093485167
-12.924197071529665,-13.105000514017275,-13.12269438002669
-12.788340983779023,-13.015900295637001,-13.038796750478776
-12.613635062504867,-12.936660637755006,-12.971764385544127
-12.437762908807409,-12.855722555945148,-12.90247915248346
-12.286535296709758,-12.779282132187614,-12.8481458925944
