ps1__g,ps1__r,ps1__i,ps1__z,ps1__y
-15.448385621692635,-15.786546568862168,-16.454569266822492,-15.412418507111413,-15.271887616081012
-15.80123942162848,-16.313047688164275,-17.21063690774413,-16.087678874194722,-16.0832943354152
-15.581481526078946,-16.094844285342642,-17.176886624906576,-16.337459485284793,-16.394100447285926
-15.146365272419485,-15.866132554064361,-16.77262423960955,-16.50325087744559,-16.42086898693551
-14.522096839376562,-15.420599402438867,-16.241485784989372,-16.259950916177026,-16.215750449643586
-13.88508311823267,-14.848462357687913,-15.75285705062558,-15.950086270966388,-15.904309829506115
-13.402639699549455,-14.323928104070871,-15.23318197355608,-15.596661600560298,-15.63103688961819
-12.895763703905304,-13.829627338551896,-14.825779273923958,-15.265670591802435,-15.31968039856242
-12.510700668657071,-13.470772764816472,-14.405753185663647,-15.00292499104957,-15.101129874438888
-12.255127327350985,-13.178525740868096,-14.103302121644735,-14.729350859679556,-14.864169607502065
-11.845144160611149,-12.902622463596014,-13.906067664394891,-14.477479657032884,-14.707862637978685
-11.535397031134284,-12.677233211671528,-13.472858863037892,-14.25361274053915,-14.516718492920482
-11.187233128620223,-12.38142367830568,-13.205075452845236,-14.0336530395494,-14.352373881699917
-10.916771170402468,-12.196464576427962,-13.005308309254298,-13.829503780592965,-14.167875698339454
-10.557194970245428,-11.936398294295902,-12.753281930016932,-13.642208993751069,-14.027260555366126
-10.26843077551475,-11.718114776694236,-12.509062210375301,-13.456221637287108,-13.910388130717859
-9.826034021141217,-11.431804075004955,-12.363615044764375,-13.272388390029171,-13.749154035326892
-9.516973098545202,-11.195162317832498,-12.187923950120657,-13.096937357607978,-13.599520661139053
-9.186833977725621,-10.944910378915424,-11.924250613009033,-12.928610630245728,-13.442661612699794
-8.851639388364553,-10.726961236070338,-11.705841205682752,-12.78997682941688,-13.288127939418143
-8.593659112944401,-10.522152902293092,-11.528344959666335,-12.60043954019199,-13.120317593491386
-8.219645279169056,-10.248184157901884,-11.300887438186255,-12.444168553743856,-12.999418736491164
-7.851859805159403,-10.019943121310549,-11.120727562490485,-12.301693451156483,-12.820637113368852
-7.57263470895545,-9.75802311843087,-11.047311710713902,-12.117862619257174,-12.665414126231575
-7.412080776224786,-9.567960245319995,-10.80561666098188,-11.967543331644928,-12.561221805299514
-6.996927848520034,-9.311575050717082,-10.516288224754508,-11.810709653428919,-12.361367275935981
-6.818080227104853,-9.1296448772576,-10.369095739436903,-11.6602877243278,-12.257643900899561
-6.6847052935694276,-8.91104012057387,-10.153814442657946,-11.52406042600807,-12.103717280977984
-6.358631672867684,-8.680724231646161,-10.000106639980979,-11.383356245361242,-11.980363200113741
